iter	Passed	Remaining
0	2	215
1	4	197
2	5	183
3	7	169
4	8	167
5	10	163
6	12	163
7	13	152
8	14	150
9	16	146
10	18	146
11	19	143
12	21	142
13	23	141
14	24	139
15	26	138
16	27	136
17	29	133
18	30	130
19	31	126
20	32	123
21	34	121
22	35	119
23	36	116
24	38	114
25	39	111
26	40	109
27	41	107
28	42	104
29	43	102
30	44	100
31	45	97
32	46	95
33	47	93
34	48	90
35	49	88
36	50	86
37	51	84
38	52	82
39	53	80
40	54	78
41	54	75
42	55	73
43	56	71
44	57	69
45	57	67
46	58	66
47	59	64
48	60	62
49	61	61
50	61	59
51	62	57
52	63	56
53	64	54
54	64	52
55	65	51
56	66	50
57	67	48
58	67	47
59	68	45
60	69	44
61	70	43
62	71	41
63	72	40
64	72	39
65	73	37
66	74	36
67	75	35
68	76	34
69	76	32
70	77	31
71	78	30
72	79	29
73	79	28
74	80	26
75	81	25
76	82	24
77	83	23
78	84	22
79	84	21
80	85	20
81	86	18
82	87	17
83	87	16
84	88	15
85	89	14
86	90	13
87	91	12
88	92	11
89	92	10
90	93	9
91	94	8
92	95	7
93	96	6
94	97	5
95	97	4
96	98	3
97	99	2
98	100	1
99	101	0
